Date,Open,High,Low,Close,Adj Close,Volume
1/20/2023,26346.68945,26553.5293,26320.96094,26553.5293,26553.5293,60400000
1/23/2023,26880.21094,26938.2793,26788.75977,26906.03906,26906.03906,60200000
1/24/2023,27150.42969,27381,27150.42969,27299.18945,27299.18945,70800000
1/25/2023,27175.88086,27473.90039,27175.88086,27395.00977,27395.00977,63400000
1/26/2023,27444.64063,27502.15039,27284.08008,27362.75,27362.75,63300000
1/27/2023,27428.41016,27452.66992,27326.91016,27382.56055,27382.56055,71500000
1/30/2023,27384.76953,27486.41992,27337.25,27433.40039,27433.40039,65800000
1/31/2023,27458.56055,27494.16992,27302.2207,27327.10938,27327.10938,74600000
2/1/2023,27483.41016,27547.66992,27322.78906,27346.88086,27346.88086,65800000
2/2/2023,27453.66992,27472.43945,27338.42969,27402.05078,27402.05078,73200000
2/3/2023,27455.0293,27612.57031,27445.68945,27509.46094,27509.46094,92800000
2/6/2023,27764.66016,27821.2207,27656.4707,27693.65039,27693.65039,88400000
2/7/2023,27744.90039,27814.96094,27662.10938,27685.4707,27685.4707,74300000
2/8/2023,27690.74023,27719.44922,27458.5293,27606.46094,27606.46094,69000000
2/9/2023,27453.40039,27635.38086,27424.68945,27584.34961,27584.34961,61700000
2/10/2023,27711.25,27814.01953,27609.33008,27670.98047,27670.98047,88800000
2/13/2023,27550.34961,27570.32031,27266.93945,27427.32031,27427.32031,70400000
2/14/2023,27705.36914,27721.82031,27553.17969,27602.76953,27602.76953,55800000
2/15/2023,27686.00977,27720.26953,27444.13086,27501.85938,27501.85938,72100000
2/16/2023,27654.7207,27727.66016,27597.11914,27696.43945,27696.43945,68100000
2/17/2023,27484.59961,27608.58984,27466.60938,27513.13086,27513.13086,68800000
2/20/2023,27497.13086,27531.93945,27426.48047,27531.93945,27531.93945,62500000
2/21/2023,27486.08984,27538.28906,27359.11914,27473.09961,27473.09961,61600000
2/22/2023,27265.99023,27300.5293,27046.08008,27104.32031,27104.32031,74700000
2/24/2023,27144.7207,27465.90039,27128.32031,27453.48047,27453.48047,76000000
2/27/2023,27322.73047,27456.2207,27292.74023,27423.96094,27423.96094,59400000
2/28/2023,27515.33984,27585.16992,27400.35938,27445.56055,27445.56055,86300000
3/1/2023,27363.57031,27530.75977,27305.36914,27516.5293,27516.5293,69800000
3/2/2023,27564.82031,27617.80078,27408.53906,27498.86914,27498.86914,69300000
3/3/2023,27683.25977,27961.21094,27655.33984,27927.4707,27927.4707,78200000
3/6/2023,28182.31055,28288.61914,28153.82031,28237.7793,28237.7793,65700000
3/7/2023,28202.58984,28398.26953,28202.58984,28309.16016,28309.16016,69800000
3/8/2023,28237.21094,28469.41016,28232.67969,28444.18945,28444.18945,67200000
3/9/2023,28648.10938,28734.78906,28558.88086,28623.15039,28623.15039,72300000
3/10/2023,28385.28906,28424.24023,28118.74023,28143.9707,28143.9707,111300000
3/13/2023,27886.21094,27906.9707,27631.5293,27832.96094,27832.96094,96100000
3/14/2023,27455.94922,27455.94922,27104.75,27222.03906,27222.03906,125700000
3/15/2023,27421.66016,27424.93945,27105.99023,27229.48047,27229.48047,86600000
3/16/2023,26796.66992,27057.53906,26632.91992,27010.60938,27010.60938,107100000
3/17/2023,27232.23047,27356.15039,27071.71094,27333.78906,27333.78906,101500000
3/20/2023,27253.73047,27367.17969,26945.66992,26945.66992,26945.66992,79200000
3/22/2023,27298.15039,27520.9707,27267.25977,27466.60938,27466.60938,78100000
3/23/2023,27232.9707,27461.9707,27175.63086,27419.60938,27419.60938,64100000
3/24/2023,27368.61914,27397.28906,27257.43945,27385.25,27385.25,59500000
3/27/2023,27482.39063,27543.48047,27359.7207,27476.86914,27476.86914,57400000
3/28/2023,27573.82031,27603.44922,27432.75977,27518.25,27518.25,66400000
3/29/2023,27549.36914,27897.7207,27505.48047,27883.7793,27883.7793,83800000
3/30/2023,27827.89063,27876.38086,27630.55078,27782.92969,27782.92969,82000000
3/31/2023,28009.2207,28124.61914,27986.61914,28041.48047,28041.48047,91100000
4/3/2023,28203.34961,28258.91016,28120.71094,28188.15039,28188.15039,75000000
4/4/2023,28213.92969,28287.41992,28139.11914,28287.41992,28287.41992,73300000
4/5/2023,28111.03906,28133.57031,27788.76953,27813.25977,27813.25977,74300000
4/6/2023,27589.14063,27609.85938,27427.66016,27472.63086,27472.63086,73200000
4/7/2023,27554.36914,27591.15039,27456.25,27518.31055,27518.31055,49100000
4/10/2023,27658.51953,27737.49023,27597.17969,27633.66016,27633.66016,48000000
4/11/2023,27895.90039,28068.39063,27854.82031,27923.36914,27923.36914,64800000
4/12/2023,27985.92969,28121.46094,27983.9707,28082.69922,28082.69922,62700000
4/13/2023,27952.58008,28163.86914,27952.00977,28156.9707,28156.9707,59900000
4/14/2023,28321.53906,28515.50977,28282.82031,28493.4707,28493.4707,72900000
4/17/2023,28537.99023,28599.75,28414.98047,28514.7793,28514.7793,58000000
4/18/2023,28567.53906,28698.2207,28520.75977,28658.83008,28658.83008,62300000
4/19/2023,28619.83984,28677.2207,28531.53906,28606.75977,28606.75977,58000000
4/20/2023,28472,28694.25,28442.44922,28657.57031,28657.57031,56700000
4/21/2023,28590.55078,28778.36914,28527.80078,28564.36914,28564.36914,61400000
4/24/2023,28631.7793,28680.65039,28567.24023,28593.51953,28593.51953,50000000
4/25/2023,28697.73047,28806.68945,28609.76953,28620.07031,28620.07031,59300000
